league,target_metric,conditioning_size,independence,removed_metric
mlv,K_S,29,0.153785376509679,NA
mlv,K_S,28,0.19431327888076,PTS_S
mlv,K_S,27,0.257800280215304,E_S
mlv,K_S,26,0.410665993885729,Kill_Rate_Rally_Point
mlv,K_S,25,0.463689890820159,D_S
mlv,K_S,24,0.491421192113809,RE_S
mlv,K_S,23,0.518693487019828,SE_S
mlv,K_S,22,0.593855939915895,SA_S
mlv,K_S,21,0.637562200254782,B_S
mlv,K_S,20,0.680898232705097,BT_S
mlv,K_S,19,0.730616758609225,AEV
mlv,K_S,18,0.766934101693538,Blocked_Rate
mlv,K_S,17,0.806007409971613,Dig_Rate
mlv,K_S,16,0.827692198259875,AST_S
mlv,K_S,15,0.858642306316748,Reception_Rate
mlv,K_S,14,0.881231195063184,Attack_Error_Rate_No_Blocks
mlv,K_S,13,0.89521002108931,Pct_Points_Won_On
mlv,K_S,12,0.908645795368509,Srv_Eff
mlv,K_S,11,0.921257094577308,Srv_Avg
mlv,K_S,10,0.934888403835165,K%
mlv,K_S,9,0.946656703461392,Pass_Eff
mlv,K_S,8,0.960194960267447,Dig_Kill_Pct
mlv,K_S,7,0.967590763931307,Transition_Hit_Avg
mlv,K_S,6,0.972826787783129,PSF
mlv,K_S,5,0.977316681663073,Transition_Hit_Pct
mlv,K_S,4,0.985348845709522,Eff
mlv,K_S,3,0.987956475841479,SR_Hit_Avg
mlv,K_S,2,0.995128958648776,SR_Hit_Pct
mlv,K_S,1,0.998491245859658,APM
mlv,K_S,0,1.0,Dig_Att_Cnv_Pct
mlv,E_S,29,0.211614429598049,NA
mlv,E_S,28,0.233609513624247,K_S
mlv,E_S,27,0.30131633520951,PTS_S
mlv,E_S,26,0.393470168378276,Kill_Rate_Rally_Point
mlv,E_S,25,0.44767745111856,D_S
mlv,E_S,24,0.495555753541566,Blocked_Rate
mlv,E_S,23,0.5279360317244,RE_S
mlv,E_S,22,0.550783938035009,B_S
mlv,E_S,21,0.575461161237159,SE_S
mlv,E_S,20,0.660131626100726,SA_S
mlv,E_S,19,0.702143384282262,Attack_Error_Rate_No_Blocks
mlv,E_S,18,0.738999839516266,AEV
mlv,E_S,17,0.775516887881607,BT_S
mlv,E_S,16,0.823181304550227,Dig_Rate
mlv,E_S,15,0.848934375592354,AST_S
mlv,E_S,14,0.880282862253482,Reception_Rate
mlv,E_S,13,0.899748402365374,Eff
mlv,E_S,12,0.913415558899107,Srv_Eff
mlv,E_S,11,0.931245107725411,Srv_Avg
mlv,E_S,10,0.943594843903114,Pass_Eff
mlv,E_S,9,0.958326382872129,Dig_Kill_Pct
mlv,E_S,8,0.966402193322096,Transition_Hit_Pct
mlv,E_S,7,0.973489929811896,K%
mlv,E_S,6,0.97940552979281,APM
mlv,E_S,5,0.984745424579985,SR_Hit_Pct
mlv,E_S,4,0.998093564225938,SR_Hit_Avg
mlv,E_S,3,0.999385607800357,PSF
mlv,E_S,2,0.99974176283507,Pct_Points_Won_On
mlv,E_S,1,0.999999939944874,Dig_Att_Cnv_Pct
mlv,E_S,0,1.0,Transition_Hit_Avg
mlv,AST_S,29,0.50650841939135,NA
mlv,AST_S,28,0.574811917605122,D_S
mlv,AST_S,27,0.634019079534938,Dig_Rate
mlv,AST_S,26,0.671844466252379,Reception_Rate
mlv,AST_S,25,0.703026554554925,APM
mlv,AST_S,24,0.738459377503536,Kill_Rate_Rally_Point
mlv,AST_S,23,0.772008950349623,Pct_Points_Won_On
mlv,AST_S,22,0.788506042166923,Dig_Att_Cnv_Pct
mlv,AST_S,21,0.805816741548569,PSF
mlv,AST_S,20,0.819624053932355,B_S
mlv,AST_S,19,0.826531637359048,RE_S
mlv,AST_S,18,0.833717797695845,AEV
mlv,AST_S,17,0.839294201408854,Blocked_Rate
mlv,AST_S,16,0.848616112059907,K%
mlv,AST_S,15,0.853789732519681,E_S
mlv,AST_S,14,0.860739849515329,Attack_Error_Rate_No_Blocks
mlv,AST_S,13,0.867551986733143,Eff
mlv,AST_S,12,0.873844687790246,Pass_Eff
mlv,AST_S,11,0.879348668149113,PTS_S
mlv,AST_S,10,0.922398019305814,K_S
mlv,AST_S,9,0.926391559482092,Transition_Hit_Pct
mlv,AST_S,8,0.93039687307771,Srv_Eff
mlv,AST_S,7,0.952836331476711,Srv_Avg
mlv,AST_S,6,0.992768825909936,SE_S
mlv,AST_S,5,0.996961516808026,Transition_Hit_Avg
mlv,AST_S,4,0.99841884183285,BT_S
mlv,AST_S,3,0.999528147303383,SR_Hit_Pct
mlv,AST_S,2,0.999808338397477,Dig_Kill_Pct
mlv,AST_S,1,0.999985479276115,SA_S
