metric,K_S,E_S,AST_S,SA_S,SE_S,RE_S,D_S,BT_S,B_S,PTS_S,K%,Eff,Pass_Eff,Srv_Eff,Blocked_Rate,Srv_Avg,Attack_Error_Rate_No_Blocks
K_S,1.0,0.72276812857245,-0.246904490303156,0.414872112137847,0.432467249834776,0.272028417090804,0.0521428945082901,0.267874777646594,0.412680442937466,0.865054856005041,0.174874733516945,0.124738754200081,-0.0833542421023375,-0.165965899649831,0.0896280170767777,-0.117409641568073,0.194883485782738
E_S,0.72276812857245,1.0,-0.327566614573281,0.288084947460482,0.424488068585914,0.291175284810306,0.0590940806522317,0.142636923723899,0.288078258303208,0.704061059621226,-0.0889736275830655,-0.207113026504401,-0.0015359615779057,-0.238080311351847,0.33977403545549,-0.208780005159566,0.391022446774349
AST_S,-0.246904490303156,-0.327566614573281,1.0,0.065556797713204,-0.118125724541041,-0.0510234682869274,0.512855617004308,0.0001427724620482,-0.234770746386895,-0.25177516682992,-0.0087377878193467,0.167310904024484,-0.213944967123179,0.252299551904265,-0.377882409900902,0.250123024375491,-0.249969806143058
SA_S,0.414872112137847,0.288084947460482,0.065556797713204,1.0,0.665230008608413,0.0668802509154094,-0.0658000136862668,0.347679221657885,0.394166745078047,0.480465231466264,0.264875546699198,0.252177918001864,-0.242978586913159,0.0175583578240235,-0.0600612992152652,0.146841784914669,0.132477590468518
SE_S,0.432467249834776,0.424488068585914,-0.118125724541041,0.665230008608413,1.0,0.047258693205571,-0.178831181421682,0.38495758508888,0.453876925357029,0.478439500966658,0.227888117563088,0.137613238534883,-0.226199201894198,-0.637279604599344,0.0588815438543334,-0.539113606981378,0.36593794697832
RE_S,0.272028417090804,0.291175284810306,-0.0510234682869274,0.0668802509154094,0.047258693205571,1.0,0.3648997654754,-0.269312952289442,-0.196420286812405,0.233115506054859,-0.186358523249085,-0.158752053408117,0.0054298974866222,0.0037480106008871,0.0360080314302924,0.019813655707638,0.0524575986276794
D_S,0.0521428945082901,0.0590940806522317,0.512855617004308,-0.0658000136862668,-0.178831181421682,0.3648997654754,1.0,-0.225520165054445,-0.370419640405599,0.0049359223062349,-0.279245717107982,-0.130011383218077,0.071265734004063,0.22653155722626,-0.181967280628688,0.213679744314447,-0.136657488393963
BT_S,0.267874777646594,0.142636923723899,0.0001427724620482,0.347679221657885,0.38495758508888,-0.269312952289442,-0.225520165054445,1.0,0.500204109471924,0.306811598645321,0.26818417663064,0.217917328973691,-0.257197337727565,-0.151677085053229,0.0493882170811727,-0.11024302606429,0.0687078293836774
B_S,0.412680442937466,0.288078258303208,-0.234770746386895,0.394166745078047,0.453876925357029,-0.196420286812405,-0.370419640405599,0.500204109471924,1.0,0.510857721737034,0.313285531074231,0.202487302430212,-0.182304442869877,-0.236769659776079,0.135987809784956,-0.185220332121368,0.240509324135989
PTS_S,0.865054856005041,0.704061059621226,-0.25177516682992,0.480465231466264,0.478439500966658,0.233115506054859,0.0049359223062349,0.306811598645321,0.510857721737034,1.0,0.208752720479874,0.151078874724536,-0.107590171896411,-0.1697156775534,0.0904433638949679,-0.108692200242643,0.201130588441774
K%,0.174874733516945,-0.0889736275830655,-0.0087377878193467,0.264875546699198,0.227888117563088,-0.186358523249085,-0.279245717107982,0.26818417663064,0.313285531074231,0.208752720479874,1.0,0.820792028598968,-0.263676947157161,-0.0754464951147736,-0.165356445454193,-0.0436867101675764,-0.12286801660276
Eff,0.124738754200081,-0.207113026504401,0.167310904024484,0.252177918001864,0.137613238534883,-0.158752053408117,-0.130011383218077,0.217917328973691,0.202487302430212,0.151078874724536,0.820792028598968,1.0,-0.251884330169264,0.0326899433699337,-0.392095067990718,0.0610797831902976,-0.322649173481918
Pass_Eff,-0.0833542421023375,-0.0015359615779057,-0.213944967123179,-0.242978586913159,-0.226199201894198,0.0054298974866223,0.071265734004063,-0.257197337727565,-0.182304442869877,-0.107590171896411,-0.263676947157161,-0.251884330169264,1.0,0.0682813569628585,0.070271755027954,0.0441066737690907,-0.0204704127313875
Srv_Eff,-0.165965899649831,-0.238080311351847,0.252299551904265,0.0175583578240235,-0.637279604599344,0.0037480106008871,0.22653155722626,-0.151677085053229,-0.236769659776079,-0.1697156775534,-0.0754464951147736,0.0326899433699337,0.0682813569628585,1.0,-0.123310718036544,0.87689420199276,-0.349730106027654
Blocked_Rate,0.0896280170767777,0.33977403545549,-0.377882409900902,-0.0600612992152652,0.0588815438543334,0.0360080314302924,-0.181967280628688,0.0493882170811727,0.135987809784956,0.0904433638949679,-0.165356445454193,-0.392095067990718,0.070271755027954,-0.123310718036544,1.0,-0.132482017423485,0.157513968437657
Srv_Avg,-0.117409641568073,-0.208780005159566,0.250123024375491,0.14684178491467,-0.539113606981378,0.019813655707638,0.213679744314447,-0.11024302606429,-0.185220332121368,-0.108692200242643,-0.0436867101675764,0.0610797831902976,0.0441066737690907,0.87689420199276,-0.132482017423485,1.0,-0.330741900959559
Attack_Error_Rate_No_Blocks,0.194883485782738,0.391022446774349,-0.249969806143058,0.132477590468518,0.36593794697832,0.0524575986276794,-0.136657488393963,0.0687078293836774,0.240509324135989,0.201130588441774,-0.12286801660276,-0.322649173481918,-0.0204704127313875,-0.349730106027654,0.157513968437657,-0.330741900959559,1.0
