metric,K_S,E_S,AST_S,SA_S,SE_S,RE_S,D_S,BT_S,B_S,PTS_S,K%,Eff,Pass_Eff,Srv_Eff,PSF,AEV,APM,SR_Hit_Pct,Transition_Hit_Pct,SR_Hit_Avg,Transition_Hit_Avg,Dig_Att_Cnv_Pct,Dig_Kill_Pct,Dig_Rate,Reception_Rate,Pct_Points_Won_On,Blocked_Rate,Srv_Avg,Attack_Error_Rate_No_Blocks,Kill_Rate_Rally_Point
K_S,1.0,0.730958274268122,-0.145648408945647,0.398742083644639,0.464655348315669,0.22469794105383,0.158963629187565,0.389478549932498,0.402921046780819,0.791251457076294,0.255993146506245,0.161399747828697,0.0095447085370709,-0.214557676620071,-0.0205053897791191,0.13824301982724,-0.0856687823502241,0.144750964313523,0.0659526925242163,0.154599069128397,0.0956942153697438,-0.101769717338606,-0.0191143724455674,-0.204321777528746,0.147488657997446,0.0179687122085943,0.187412425559134,-0.177913576925842,0.185330405558875,0.589550964999374
E_S,0.730958274268122,1.0,-0.192202810328417,0.343483405611041,0.437529211758084,0.255327843004927,0.140442427423698,0.260229086889971,0.317732319041141,0.715316084694991,0.0866039682192532,-0.0567921422432591,0.000644211463831,-0.223638805820804,-0.0184697222001061,0.127527543543317,-0.0744701016859222,-0.0403335325795466,-0.0709355926440606,-0.0245913414536539,-0.0370986214947887,-0.0631917785014783,-0.0409913649021319,-0.158913951697493,0.165716277031458,-0.0271796032571652,0.322812937831829,-0.195289148824916,0.29395436562412,0.570333148695895
AST_S,-0.145648408945647,-0.192202810328417,1.0,0.151533752314006,-0.0110606349357063,0.129053270108175,0.49617669143977,-0.0106209968127001,-0.0941241866349024,-0.133269730480427,-0.0068539025346242,0.132355171923653,-0.0305451327662764,0.193821185311163,0.331759176832143,0.0982701082557137,0.292243903949016,0.157191555722404,0.0095254822084494,0.140519986359128,-0.0169085805734153,0.0652909694026724,0.131135035253461,0.348324283401929,-0.0338859856464726,0.232199472950678,-0.261183715618507,0.201935803441598,-0.1264714767041,-0.341719132714369
SA_S,0.398742083644639,0.343483405611041,0.151533752314006,1.0,0.50281502703246,0.107222740316274,0.170599722643256,0.374904839571152,0.352530972610243,0.45480703225636,0.199601713408282,0.185011595487936,-0.018262949065655,-0.0119220901868989,0.195804664087947,0.165009970791043,-0.0795888536683925,0.179803860049223,0.11644492608916,0.178804852303196,0.117369698644471,-0.13248733223338,0.0358258799209017,-0.109855653425083,0.0392683191629361,0.052768029072998,0.0190532990597944,0.0885437417986164,0.108822288702018,0.178714983694174
SE_S,0.464655348315669,0.437529211758084,-0.0110606349357063,0.50281502703246,1.0,0.147159869971658,0.0775394859919219,0.413106440516485,0.401233468237936,0.504170887050725,0.213378940805401,0.137475840120516,-0.108513186624572,-0.512562486038011,-0.0495294543934892,0.165148621309008,-0.182181433851988,0.138177884626797,0.0339499353435178,0.148283524389591,0.0538223734650533,-0.15892933586172,-0.0031365708244712,-0.173599531837173,0.0675067865139468,-0.0669523553439309,0.165753240906597,-0.455950239094495,0.144056873273637,0.260429228247416
RE_S,0.22469794105383,0.255327843004927,0.129053270108175,0.107222740316274,0.147159869971658,1.0,0.455649745387351,-0.0759833637731346,-0.0599092105512241,0.187538303429683,-0.133279926451368,-0.090273436868063,0.0306357193147504,-0.0397281333055565,0.124754995840319,0.117717130123762,0.26987904100211,0.00446081014003,-0.130844611947343,-0.0062833649566522,-0.11524087509482,0.0846333840422527,0.107559394093082,0.241652105691715,0.638952624635374,0.146211113185167,0.0061768104013418,-0.0246328072588684,0.0412104108756402,-0.0052662751364743
D_S,0.158963629187565,0.140442427423698,0.49617669143977,0.170599722643256,0.0775394859919219,0.455649745387351,1.0,-0.0518638947912067,-0.0944914703813707,0.134860984153068,-0.0244081364915567,0.0800358285882004,0.0870565182460298,0.0866473340047388,0.324603433688336,0.153014739037199,0.445473910622442,0.158292354317443,-0.0902386317393604,0.150784236711798,-0.0875318384237359,0.116243211137435,0.0906078625537513,0.510959914855288,0.236031081351489,0.352112692043567,-0.146128285681149,0.110534548994473,-0.0076271238668807,-0.133680742370557
BT_S,0.389478549932498,0.260229086889971,-0.0106209968127001,0.374904839571152,0.413106440516485,-0.0759833637731346,-0.0518638947912067,1.0,0.645400518644121,0.448756567819351,0.353553754291184,0.3346606052022,-0.0844508834149139,-0.154753308060256,-0.0295066261491817,0.128690227173377,-0.328721018496821,0.244452715152388,0.192322247700284,0.247482714662908,0.184346048857443,-0.261234609758795,-0.088129950973951,-0.365467923387902,-0.0877576610879318,-0.110381918113071,0.0334685776960849,-0.113211619261101,-0.0102920880426129,0.229567737661731
B_S,0.402921046780819,0.317732319041141,-0.0941241866349024,0.352530972610243,0.401233468237936,-0.0599092105512241,-0.0944914703813707,0.645400518644121,1.0,0.477503602431976,0.326985397553993,0.273928449101898,-0.0042186698756018,-0.130003002143672,-0.0491111104094984,0.113753489057893,-0.304711954540034,0.198579715339064,0.152225822688517,0.208538156578839,0.152308744599948,-0.253550629594109,-0.0808541203867309,-0.40097922864151,-0.0552084557152061,-0.0870751521138643,0.0766885485436451,-0.0952476368928006,0.0882731138671002,0.27553602574922
PTS_S,0.791251457076294,0.715316084694991,-0.133269730480427,0.45480703225636,0.504170887050725,0.187538303429683,0.134860984153068,0.448756567819351,0.477503602431976,1.0,0.294243944024819,0.200604371418984,-0.0077104573168096,-0.217538947895052,-0.0098934419573723,0.148774945036998,-0.123458083893289,0.172040801984798,0.0915309726337494,0.183585208423892,0.119443158320743,-0.137718668668734,-0.0187187038749874,-0.25191957493923,0.105659167108808,0.008713487950297,0.178216169417744,-0.166444621261844,0.191650031254888,0.578943540677472
