metric,K_S,E_S,AST_S,SA_S,SE_S,RE_S,D_S,BT_S,B_S,PTS_S,K%,Eff,Pass_Eff,Srv_Eff,PSF,AEV,APM,SR_Hit_Pct,Transition_Hit_Pct,SR_Hit_Avg,Transition_Hit_Avg,Dig_Att_Cnv_Pct,Dig_Kill_Pct,Dig_Rate,Reception_Rate,Pct_Points_Won_On,Blocked_Rate,Srv_Avg,Attack_Error_Rate_No_Blocks,Kill_Rate_Rally_Point
K_S,1.0,0.80339981487207,-0.208966542585843,0.488234085515115,0.530815623268818,0.305547541288874,0.180056697812339,0.313505097131146,0.412649571722528,0.888693803115281,0.19779592449815,0.142873932795845,0.0747777452936101,-0.161879066873104,0.0448238399833561,0.268170799289511,-0.0665828602022925,0.0921018130030825,0.128941863459972,0.106403610444079,0.156661037222265,-0.0388426845151337,0.084762736938746,-0.245462942684318,0.15864925780416,0.0938204154767144,0.17641675316009,-0.11697411530555,0.136995265580919,0.785768961979892
E_S,0.80339981487207,1.0,-0.256263476435476,0.422283500220328,0.473709568830562,0.343896965883818,0.161055300849181,0.170430864961147,0.332013284926828,0.784015902582752,-0.0091087947147001,-0.13386499534509,0.120722718736323,-0.186215750505666,0.0375770759578834,0.182323682980226,-0.0312964684151397,-0.132084693955612,-0.0387626451982406,-0.112603036194094,-0.0002450614741782,-0.0160402549461096,0.121576567122474,-0.207667529551611,0.203247656168556,0.0160745245600167,0.37018345384617,-0.145872089499186,0.304331320098727,0.679874197711792
AST_S,-0.208966542585843,-0.256263476435476,1.0,0.0127813677594771,-0.167144584657743,0.0279748071627397,0.504476543041448,-0.0339080876953142,-0.18969557716314,-0.203925838338012,-0.0601545028905433,0.0704527131952668,-0.0984091537932819,0.258461518066801,0.230448076657274,0.110074860215653,0.311160660622369,0.0103722373227554,0.0855900812337989,-0.0038106067607429,0.0604061647410493,0.174977989936476,0.0174835970349592,0.412220073294604,-0.17614888965139,0.266585245062652,-0.21538394034361,0.25097085849133,-0.161628084259337,-0.330819754717213
SA_S,0.488234085515115,0.422283500220328,0.0127813677594771,1.0,0.535647308990471,0.139435687753291,0.0640170936662637,0.269861264300697,0.316361935168285,0.537291480088416,0.174539339707667,0.13434383647929,-0.0448146839666892,0.0579952637350376,0.20896366900126,0.289533268145103,-0.115490989163736,0.10545692763515,0.0857505445904099,0.1152875082267,0.0929341217304368,-0.100443440115505,0.0172425479320879,-0.207878610081204,0.031431265779187,0.0980916676688815,0.0228610825577674,0.158180711292424,0.132601882101238,0.391256890015755
SE_S,0.530815623268818,0.473709568830562,-0.167144584657743,0.535647308990471,1.0,0.121348394800457,-0.0862497437075136,0.361915231316492,0.400354316855241,0.559559698425154,0.246336148817982,0.16385856238232,-0.07219273421116,-0.575502332800494,-0.0559183144800344,0.100421556931156,-0.23721186522665,0.107857035892295,0.0406227740278089,0.130236600768357,0.0521159123848305,-0.157636745161673,-0.0034521285843944,-0.322950276099605,0.061652618076774,-0.0596951022161907,0.107820744109346,-0.513442351777532,0.164566913147009,0.494077955409522
RE_S,0.305547541288874,0.343896965883818,0.0279748071627397,0.139435687753291,0.121348394800457,1.0,0.344714400274537,-0.155610221008182,-0.0303186982726082,0.262754654700933,-0.207809683595959,-0.1691883807634,0.16788295068884,0.0229041989537268,0.0452060372802777,0.0886138298293537,0.271742218515142,-0.103483240330813,0.0020428837215303,-0.109323297400351,-0.0023874862612673,0.151453400915544,0.172419811467136,0.177532650979098,0.623300419681035,0.167808085062631,0.0319646010900356,0.0200238024864195,0.0529780349599913,0.178995164499971
D_S,0.180056697812339,0.161055300849181,0.504476543041448,0.0640170936662637,-0.0862497437075136,0.344714400274537,1.0,-0.156765689482962,-0.202663149563313,0.141553348148319,-0.215524311521417,-0.0824346214152231,0.152933540009757,0.228517156928692,0.25829063289489,0.23752761409655,0.569476197960269,-0.0570691483978303,0.0155636023443632,-0.074428616995954,0.0108814195435454,0.235393868200877,0.192280163943664,0.603274819814002,0.15080249318602,0.496676858332719,-0.0860142364391816,0.229833512790594,-0.0833550072236623,-0.0217571596823294
BT_S,0.313505097131146,0.170430864961147,-0.0339080876953142,0.269861264300697,0.361915231316492,-0.155610221008182,-0.156765689482962,1.0,0.577904882829984,0.366172980349389,0.371657401315843,0.381302195764795,-0.220478745086772,-0.0853923557381963,-0.0589189229527525,0.196265913357133,-0.409352287615776,0.266145505515881,0.165336052010416,0.272631706294065,0.166498262881784,-0.253058659540017,-0.158835403058916,-0.511727633311711,-0.258843086493394,-0.088347387313856,-0.037783069333294,-0.0625575674154644,-0.0655680071256829,0.29757837946713
B_S,0.412649571722528,0.332013284926828,-0.18969557716314,0.316361935168285,0.400354316855241,-0.0303186982726082,-0.202663149563313,0.577904882829984,1.0,0.513999723420987,0.303773387326898,0.270775352104193,-0.111286287190952,-0.129645294742312,-0.143706527188283,0.167981681918761,-0.356517548811531,0.202764747186,0.0904604371606085,0.209924748437457,0.103232937069474,-0.330749193759986,-0.182089505645005,-0.538177147376411,-0.118413164455414,-0.0654755339554257,0.0443583609676197,-0.10590359112367,0.0412846713096133,0.389121735698738
PTS_S,0.888693803115281,0.784015902582752,-0.203925838338012,0.537291480088416,0.559559698425154,0.262754654700933,0.141553348148319,0.366172980349389,0.513999723420987,1.0,0.232882385459692,0.17812183857237,0.0455327610793181,-0.152086024728778,0.0406485048798714,0.283573832280807,-0.108021308813606,0.121863653814458,0.132414172211034,0.135922489738732,0.16077419072838,-0.0829990702951299,0.0530519631195738,-0.297017344798071,0.121414006922189,0.090565368394877,0.158144530085855,-0.100240850046256,0.129978325342699,0.77616490616935
K%,0.19779592449815,-0.0091087947147001,-0.0601545028905433,0.174539339707667,0.246336148817982,-0.207809683595959,-0.215524311521417,0.371657401315843,0.303773387326898,0.232882385459692,1.0,0.808076637982333,-0.162000787517274,-0.144141089610314,-0.153646553427636,0.109843881941611,-0.296913194056817,0.632436814464635,0.446414264815576,0.664354830689998,0.459011596999982,-0.196525375304188,-0.145207951605731,-0.352310694140221,-0.197089894486694,-0.0359576159393283,-0.216343624369386,-0.124728467339272,-0.0473671051268018,0.284425999398836
Eff,0.142873932795845,-0.13386499534509,0.0704527131952668,0.13434383647929,0.16385856238232,-0.1691883807634,-0.0824346214152231,0.381302195764795,0.270775352104193,0.17812183857237,0.808076637982333,1.0,-0.197098515664307,-0.0407282962942315,-0.114764109790936,0.157417357148606,-0.223239710047472,0.680182123347506,0.523516987142579,0.688674639191252,0.51596777720016,-0.136311595440874,-0.14788296640309,-0.273064660752525,-0.187824892442748,0.0477429596402862,-0.424863187772075,-0.0315380166743578,-0.309294294818039,0.197872024851686
Pass_Eff,0.0747777452936101,0.120722718736323,-0.0984091537932819,-0.0448146839666892,-0.07219273421116,0.16788295068884,0.152933540009757,-0.220478745086772,-0.111286287190952,0.0455327610793181,-0.162000787517274,-0.197098515664307,1.0,0.0540993013486183,0.0172546253072571,-0.064464349032574,0.240788807148254,-0.0869020200639585,-0.130599361629365,-0.0871025031218305,-0.12906893561193,0.16668622889955,0.190809970693617,0.166005269051069,0.312950752917385,0.201496622458888,0.12715513914354,0.0404901636034568,0.0611429360045586,0.0497769229283376
Srv_Eff,-0.161879066873104,-0.186215750505666,0.258461518066801,0.0579952637350376,-0.575502332800494,0.0229041989537268,0.228517156928692,-0.0853923557381963,-0.129645294742312,-0.152086024728778,-0.144141089610314,-0.0407282962942315,0.0540993013486183,1.0,0.281899744445509,0.198121280921003,0.160932201271322,0.0138875407647922,0.0240136275442094,-0.0075082306862134,0.0082100277118844,0.131157163417113,-0.03700319019655,0.178534802700162,-0.0221148464773281,0.189118017693978,-0.168691303444957,0.906651048112471,-0.125802153661748,-0.257274136682203
PSF,0.0448238399833561,0.0375770759578834,0.230448076657274,0.20896366900126,-0.0559183144800344,0.0452060372802777,0.25829063289489,-0.0589189229527525,-0.143706527188283,0.0406485048798714,-0.153646553427636,-0.114764109790936,0.0172546253072571,0.281899744445509,1.0,0.254188596993631,0.205110315404719,-0.0895642203145751,-0.0698207605202273,-0.101374014505947,-0.0782065330665896,0.117683039189728,0.119983191422334,0.194654654042271,-0.0187062930656025,0.290814619514394,0.0238762212841317,0.308622478482646,-0.0418207112366099,-0.0370895525628075
