league,component,eigenvalue,variance_fraction,cumulative_variance
mlv,1,6.08373978823812,0.202791326274604,0.202791326274604
mlv,2,4.30302694786103,0.143434231595368,0.346225557869972
mlv,3,3.68172824232926,0.122724274744309,0.46894983261428
mlv,4,2.13381971980966,0.0711273239936555,0.540077156607936
mlv,5,1.63410831690944,0.0544702772303148,0.594547433838251
mlv,6,1.49363577224386,0.0497878590747952,0.644335292913046
mlv,7,1.14379818812462,0.0381266062708206,0.682461899183867
mlv,8,0.99688134079724,0.0332293780265747,0.715691277210441
mlv,9,0.933431550209782,0.0311143850069927,0.746805662217434
mlv,10,0.874999534744579,0.0291666511581526,0.775972313375587
mlv,11,0.81971584012609,0.0273238613375364,0.803296174713123
mlv,12,0.742917348751713,0.0247639116250571,0.82806008633818
mlv,13,0.620995666532552,0.0206998555510851,0.848759941889265
mlv,14,0.579171799587353,0.0193057266529118,0.868065668542177
mlv,15,0.558772487158496,0.0186257495719499,0.886691418114127
mlv,16,0.54882945987158,0.0182943153290527,0.90498573344318
mlv,17,0.37501013451577,0.0125003378171923,0.917486071260372
mlv,18,0.370067945099871,0.0123355981699957,0.929821669430367
mlv,19,0.326283761514809,0.010876125383827,0.940697794814194
mlv,20,0.274913327621079,0.0091637775873693,0.949861572401564
mlv,21,0.262056654493665,0.0087352218164555,0.958596794218019
mlv,22,0.245280465051907,0.0081760155017302,0.966772809719749
mlv,23,0.191995904514002,0.0063998634838,0.97317267320355
mlv,24,0.174353991512507,0.0058117997170835,0.978984472920633
mlv,25,0.141859062822248,0.0047286354274082,0.983713108348041
mlv,26,0.116810333174175,0.0038936777724724,0.987606786120514
mlv,27,0.101502628387293,0.0033834209462431,0.990990207066757
mlv,28,0.0930307716974415,0.003101025723248,0.994091232790005
mlv,29,0.0902915523427508,0.003009718411425,0.99710095120143
mlv,30,0.0869714639570941,0.0028990487985698,1.0
lovb,1,5.45106529773761,0.181702176591254,0.181702176591254
lovb,2,3.81668513360254,0.127222837786751,0.308925014378005
lovb,3,3.32989792649903,0.110996597549968,0.419921611927973
lovb,4,1.88434194146477,0.0628113980488256,0.482733009976798
lovb,5,1.72214865307029,0.0574049551023432,0.540137965079142
lovb,6,1.50047644474041,0.0500158814913472,0.590153846570489
lovb,7,1.2444227721897,0.0414807590729901,0.631634605643479
lovb,8,1.06986976094824,0.0356623253649412,0.66729693100842
lovb,9,1.03693972928377,0.0345646576427922,0.701861588651212
lovb,10,0.954346869505134,0.0318115623168378,0.73367315096805
lovb,11,0.822858640654341,0.0274286213551447,0.761101772323195
lovb,12,0.760161643454571,0.0253387214484857,0.78644049377168
lovb,13,0.734159393053306,0.0244719797684436,0.810912473540124
lovb,14,0.659235210860666,0.0219745070286889,0.832886980568813
lovb,15,0.627947029493674,0.0209315676497892,0.853818548218602
lovb,16,0.560705611317063,0.0186901870439021,0.872508735262504
lovb,17,0.426973263405374,0.0142324421135125,0.886741177376017
lovb,18,0.378698023119895,0.0126232674373298,0.899364444813346
lovb,19,0.347334057530525,0.0115778019176842,0.910942246731031
lovb,20,0.329955026133213,0.0109985008711071,0.921940747602138
lovb,21,0.327676003518671,0.0109225334506224,0.93286328105276
lovb,22,0.285159608113854,0.0095053202704618,0.942368601323222
lovb,23,0.272187366774202,0.0090729122258067,0.951441513549029
lovb,24,0.247023141552206,0.0082341047184068,0.959675618267435
lovb,25,0.235600305978839,0.0078533435326279,0.967528961800063
lovb,26,0.220032273955965,0.0073344091318655,0.974863370931929
lovb,27,0.201732658771497,0.0067244219590499,0.981587792890979
lovb,28,0.193466054465675,0.0064488684821891,0.988036661373168
lovb,29,0.184212743977133,0.0061404247992377,0.994177086172406
lovb,30,0.174687414827828,0.0058229138275942,1.0
au,1,4.55775678206217,0.268103340121304,0.268103340121304
au,2,2.78315604868247,0.163715061687204,0.431818401808508
au,3,2.22977336698812,0.131163139234595,0.562981541043104
au,4,1.55327540570243,0.0913691415119074,0.654350682555011
au,5,1.1986053314651,0.0705061959685355,0.724856878523547
au,6,0.857015426111183,0.0504126721241872,0.775269550647734
au,7,0.810310051220448,0.0476652971306146,0.822934847778348
au,8,0.685789737674655,0.0403405728043914,0.86327542058274
au,9,0.554046265283832,0.0325909567814019,0.895866377364142
au,10,0.47005101501739,0.0276500597069053,0.923516437071047
au,11,0.428750925937625,0.0252206427022132,0.94873707977326
au,12,0.252053952847919,0.0148267031087011,0.963563782881961
au,13,0.196575851712192,0.0115632853948348,0.975127068276796
au,14,0.126269899588392,0.0074276411522583,0.982554709429055
au,15,0.123659454596952,0.0072740855645266,0.989828794993581
au,16,0.113021344890921,0.0066483144053483,0.99647710939893
au,17,0.0598891402181946,0.0035228906010702,1.0
